,accuracy,recall,precision,sensitivity,specificity,f1_score,negative_predictive_value,positive_predictive_value,tn,tp,fn,fp
?,0.9037138927097662,0.288590602089996,0.5584415511890708,0.288590602089996,0.9739463594069375,0.3805300715817266,0.9230210596056492,0.5584415511890708,1271.0,43.0,106.0,34.0
adm_clerical,0.8662943495400789,0.23357664176745344,0.5106382951561793,0.23357664176745344,0.9650588678446416,0.3205333612359783,0.8897058820414195,0.5106382951561793,2541.0,96.0,315.0,92.0
armed_forces,1.0,0.0,0.0,0.0,0.9999998333333611,0.0,0.9999998333333611,0.0,6.0,0.0,0.0,0.0
craft_repair,0.785234899328859,0.19919786069625955,0.5866141709188418,0.19919786069625955,0.9584980233365621,0.2974044320918375,0.8019179891528049,0.5866141709188418,2425.0,149.0,599.0,105.0
exec_managerial,0.6428128872366791,0.2978994269268622,0.9034749017307434,0.2978994269268622,0.9698249843272028,0.4480605269942826,0.5929889296704838,0.9034749017307434,1607.0,468.0,1103.0,50.0
farming_fishing,0.8938826466916354,0.3218390767604704,0.5185185089163239,0.3218390767604704,0.96358543282411,0.39716216971202134,0.9210174017121587,0.5185185089163239,688.0,28.0,59.0,26.0
handlers_cleaners,0.9243391066545124,0.21621621329437551,0.3902438929208807,0.21621621329437551,0.9755620713826373,0.27825994707296675,0.9450757566807994,0.3902438929208807,998.0,16.0,58.0,25.0
machine_op_inspct,0.8719211822660099,0.17733990060423693,0.4675324614606174,0.17733990060423693,0.9711470788380385,0.25714205780859295,0.8920491267666133,0.4675324614606174,1380.0,36.0,167.0,41.0
other_service,0.9471080669710806,0.1891891874847821,0.29999999571428576,0.1891891874847821,0.9805323794276789,0.23204324764589088,0.9648162623280625,0.29999999571428576,2468.0,21.0,90.0,49.0
priv_house_serv,0.991869918699187,0.9999990000010001,0.499999750000125,0.9999990000010001,0.9918032705589896,0.6666653333346666,0.9999999917355373,0.499999750000125,121.0,1.0,0.0,1.0
prof_specialty,0.6642512077294686,0.30197682324336955,0.8342749513478814,0.30197682324336955,0.9523035225190766,0.4434426624636354,0.6317871267055782,0.8342749513478814,1757.0,443.0,1024.0,88.0
protective_serv,0.7115009746588694,0.18343195157732572,0.7560975425342064,0.18343195157732572,0.9709302297356679,0.29523746394690903,0.7076271171448578,0.7560975425342064,334.0,31.0,138.0,10.0
sales,0.7750770284149264,0.25031605530933493,0.7557251879552473,0.25031605530933493,0.9699530511878155,0.37606762773538716,0.7769838282147485,0.7557251879552473,2066.0,198.0,593.0,64.0
tech_support,0.7212449255751014,0.18965517159631393,0.7096774079084289,0.18965517159631393,0.9644970395177573,0.2993190602078713,0.7223042825372167,0.7096774079084289,489.0,44.0,188.0,18.0
transport_moving,0.81171875,0.19140624925231933,0.5903614386703442,0.19140624925231933,0.9667968740558623,0.2890848044501621,0.8270676684819818,0.5903614386703442,990.0,49.0,207.0,34.0
